num_neurons,membrane_threshold,currents_period,external_current,number_of_external_current,leak_coefficient,simulation_duration,refractory_period,guessed_critical_weight,observed_critical_synaptic_mean_weight,theoretical_critical_synaptic_mean_weight,error
1000,120.0,1,4.5,10,0.0001,2000,1,0.5,0.14751870498513034,0.12011111111111111,0.1857906350030789
1000,130.0,1,4.5,10,0.0001,2000,1,0.5,0.1544352711762329,0.13012112112112112,0.15743909969482187
1000,140.0,1,4.5,10,0.0001,2000,1,0.5,0.1646080202499978,0.14013113113113113,0.14869803477189317
1000,150.0,1,4.5,10,0.0001,2000,1,0.5,0.17083128771469955,0.15014114114114113,0.12111450338132695
1000,160.0,1,4.5,10,0.0001,2000,1,0.5,0.18880966067708171,0.16015115115115114,0.15178518632552807
1000,170.0,1,4.5,10,0.0001,2000,1,0.5,0.20582533193842042,0.17016116116116115,0.17327396215704594
1000,180.0,1,4.5,10,0.0001,2000,1,0.5,0.2147866904473801,0.18017117117117115,0.1611623104025121
1000,190.0,1,4.5,10,0.0001,2000,1,0.5,0.22903695834034618,0.19018118118118116,0.16964850319670158
1000,200.0,1,4.5,10,0.0001,2000,1,0.5,0.2425488279714019,0.2001911911911912,0.1746355038466933
1000,10.0,1,5.0,10,0.0001,2000,1,0.5,0.011030991928119325,0.01,0.09346321118150783
1000,20.0,1,5.0,10,0.0001,2000,1,0.5,0.02258903402404961,0.02001001001001001,0.11417150513358923
1000,30.0,1,5.0,10,0.0001,2000,1,0.5,0.03444648560642564,0.03002002002002002,0.12850267620856823
1000,40.0,1,5.0,10,0.0001,2000,1,0.5,0.04640462313943269,0.04003003003003003,0.13736978512353867
1000,50.0,1,5.0,10,0.0001,2000,1,0.5,0.053231363429420656,0.05004004004004004,0.059951937800954175
1000,60.0,1,5.0,10,0.0001,2000,1,0.5,0.07144618440401385,0.06005005005005005,0.15950654956632734
1000,70.0,1,5.0,10,0.0001,2000,1,0.5,0.08458004542438133,0.07006006006006006,0.17167152478420977
1000,80.0,1,5.0,10,0.0001,2000,1,0.5,0.0953499544762195,0.08007007007007007,0.1602505684463674
1000,90.0,1,5.0,10,0.0001,2000,1,0.5,0.10997716878756436,0.09008008008008007,0.18092017576773758
1000,100.0,1,5.0,10,0.0001,2000,1,0.5,0.11809065410466635,0.1000900900900901,0.15243004750081202
1000,110.0,1,5.0,10,0.0001,2000,1,0.5,0.1326022281195577,0.1101001001001001,0.16969645486778015
1000,120.0,1,5.0,10,0.0001,2000,1,0.5,0.14621389114085806,0.12011011011011011,0.17853147075882383
1000,130.0,1,5.0,10,0.0001,2000,1,0.5,0.15939354639814723,0.13012012012012014,0.18365502832156924
1000,140.0,1,5.0,10,0.0001,2000,1,0.5,0.15648404046511957,0.14013013013013015,0.10450848716827915
1000,150.0,1,5.0,10,0.0001,2000,1,0.5,0.18370964135825968,0.15014014014014015,0.1827312979869917
1000,160.0,1,5.0,10,0.0001,2000,1,0.5,0.16433508133734556,0.16015015015015016,0.025465841822322845
1000,170.0,1,5.0,10,0.0001,2000,1,0.5,0.20966960514505742,0.17016016016016017,0.1884366833121239
1000,180.0,1,5.0,10,0.0001,2000,1,0.5,0.21337486882083148,0.18017017017017017,0.1556167267221283
1000,190.0,1,5.0,10,0.0001,2000,1,0.5,0.2244165692335911,0.19018018018018018,0.15255731415167875
1000,200.0,1,5.0,10,0.0001,2000,1,0.5,0.24538599273034786,0.20019019019019021,0.18418248750580823
1000,10.0,1,5.5,10,0.0001,2000,1,0.5,0.010920411640364232,0.009998998998998998,0.08437526640108424
1000,20.0,1,5.5,10,0.0001,2000,1,0.5,0.022478629197416188,0.02000900900900901,0.10986524875329358
1000,30.0,1,5.5,10,0.0001,2000,1,0.5,0.03337017267605757,0.03001901901901902,0.10042362350264174
1000,40.0,1,5.5,10,0.0001,2000,1,0.5,0.04540429660721984,0.04002902902902903,0.11838676028153858
1000,50.0,1,5.5,10,0.0001,2000,1,0.5,0.05395404525624959,0.05003903903903904,0.07256186628113978
1000,60.0,1,5.5,10,0.0001,2000,1,0.5,0.06607506094897056,0.06004904904904905,0.09119949060017317
1000,70.0,1,5.5,10,0.0001,2000,1,0.5,0.0829393821338537,0.07005905905905906,0.15529803506381837
1000,80.0,1,5.5,10,0.0001,2000,1,0.5,0.09640134433473856,0.08006906906906906,0.16941957996932314
1000,90.0,1,5.5,10,0.0001,2000,1,0.5,0.10044344593203908,0.09007907907907907,0.10318609399335653
1000,100.0,1,5.5,10,0.0001,2000,1,0.5,0.10500790745040164,0.10008908908908909,0.046842361501545575
1000,110.0,1,5.5,10,0.0001,2000,1,0.5,0.13449689143304813,0.1100990990990991,0.18140041806166304
1000,120.0,1,5.5,10,0.0001,2000,1,0.5,0.1469411959700696,0.1201091091091091,0.18260424984172527
1000,130.0,1,5.5,10,0.0001,2000,1,0.5,0.15280860534776955,0.13011911911911914,0.14848303979355437
1000,140.0,1,5.5,10,0.0001,2000,1,0.5,0.17107547936397688,0.14012912912912914,0.1808929622754812
